disc_index,point_index,base_timeout_detected,base_evaluation_timeout_count,base_evaluation_timeout_speeds_m_per_s_json,accepted_max_simulation_time_s,accepted_coarse_time_step_s,accepted_time_step_s,adaptive_audit_level_count,adaptive_audit_evidence_json,adaptive_max_duration_s,adaptive_coarse_time_step_s,adaptive_fine_time_step_s,accepted_trapped_velocity_lower_m_per_s,accepted_untrapped_velocity_upper_m_per_s,accepted_lower_classification,accepted_upper_classification,base_capture_velocity_m_per_s,coarse_capture_velocity_m_per_s,fine_capture_velocity_m_per_s,coarse_trapped_velocity_lower_m_per_s,coarse_untrapped_velocity_upper_m_per_s,fine_trapped_velocity_lower_m_per_s,fine_untrapped_velocity_upper_m_per_s,coarse_lower_classification,coarse_upper_classification,fine_lower_classification,fine_upper_classification,timeout_node_coarse_results_json,timeout_node_fine_results_json,coarse_evaluation_timeout_count,coarse_evaluation_timeout_speeds_m_per_s_json,fine_evaluation_timeout_count,fine_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_coarse_evaluation_timeout_count,pre_adaptive_coarse_evaluation_timeout_speeds_m_per_s_json,pre_adaptive_fine_evaluation_timeout_count,pre_adaptive_fine_evaluation_timeout_speeds_m_per_s_json,complete_boundary_audit_evidence_json,positive_boundary_grid_base_level_index,diagnostic_scalar_boundary_level_index,diagnostic_scalar_boundary_converged,diagnostic_scalar_grid_agreement,timeout_resolution_status,timeout_resolution_reason,zero_threshold_audit_status,zero_threshold_audit_reason,zero_threshold_grid_evidence_json,positive_boundary_grid_audit_status,positive_boundary_grid_audit_reason,positive_boundary_grid_evidence_json,positive_boundary_grid_duration_s,positive_boundary_grid_coarse_time_step_s,positive_boundary_grid_fine_time_step_s,velocity_resolved_override
0,0,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,4.140625,4.27734375,bounded_core_residence,escaped,4.140625,4.140625,4.140625,4.140625,4.27734375,4.140625,4.27734375,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,1,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,4.82421875,4.9609375,bounded_core_residence,escaped,4.82421875,4.82421875,4.82421875,4.82421875,4.9609375,4.82421875,4.9609375,bounded_core_residence,escaped,bounded_core_residence,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,2,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,5.46875,5.703125,two_core_entries,escaped,5.46875,5.46875,5.46875,5.46875,5.703125,5.46875,5.703125,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,3,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,5.46875,5.703125,two_core_entries,escaped,5.46875,5.46875,5.46875,5.46875,5.703125,5.46875,5.703125,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
0,4,False,0,[],0.05,5e-06,5e-06,0,[],0.0,0.0,0.0,5.0,5.234375,two_core_entries,escaped,5.0,5.0,5.0,5.0,5.234375,5.0,5.234375,two_core_entries,escaped,two_core_entries,escaped,[],[],0,[],0,[],0,[],0,[],[],0,-1,False,not_applicable,not_required,base search contained no timeout,not_applicable,positive scalar capture threshold,[],not_applicable,positive-boundary grid fallback was not required,[],0.0,0.0,0.0,False
