point_index,study_key,scan_variable,scan_value,s0,seff,detuning_n,cooling_power_w_per_beam,cooling_power_mw_per_beam,cooling_beam_diameter_m,cooling_beam_diameter_mm,cooling_beam_center_peak_intensity_w_per_m2,cooling_beam_center_on_resonance_saturation_parameter,cooling_beam_center_effective_saturation_parameter,cooling_detuning_n,cooling_detuning_hz,cooling_detuning_mhz,cooling_detuning_rad_per_s,natural_linewidth_hz,natural_linewidth_rad_per_s,repump_power_w_per_beam,repump_power_mw_per_beam,loading_rate_mean_atoms_per_s,loading_rate_from_mean_spectrum_atoms_per_s,loading_rate_sample_std_atoms_per_s,loading_rate_disc_cluster_sem_atoms_per_s,loading_rate_t95_lower_atoms_per_s,loading_rate_t95_upper_atoms_per_s,student_t_critical_95,confidence_level,disc_count,points_per_disc,capture_threshold_search_count,disc_radius_m,disc_radius_mm,phase_space,geometry_sha256,run_signature_sha256,point_elapsed_wall_time_s,statistics_directory,figures_directory,capture_cross_section_csv,capture_cross_section_plot,status
0,02_effective_saturation,seff,0.25,6.356679621874399,0.25000000000000006,-2.471169686985173,0.006719763488707697,6.719763488707697,0.0127,12.7,106.09298288908373,6.356679621874399,0.25000000000000006,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,30682017.632497907,30682017.632497903,12652407.096240817,2530481.4192481632,25459360.67108518,35904674.593910635,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,e40d20e70bcc2ca48078e219c1040335f5da56ddef45a22c68f6d7c7ea0bbd7a,622.9089998000127,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\000_seff_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\000_seff_0p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\000_seff_0p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\000_seff_0p25\capture_cross_section_vs_velocity.png,completed
1,02_effective_saturation,seff,0.5,12.713359243748798,0.5000000000000001,-2.471169686985173,0.013439526977415394,13.439526977415394,0.0127,12.7,212.18596577816746,12.713359243748798,0.5000000000000001,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,42661080.33169453,42661080.33169453,16100281.545734616,3220056.309146923,36015210.74688495,49306949.91650411,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,59367a58e09241856f91be422a7145f727a6dea6180a9ad3ced57a0911cbebf6,608.1779482999991,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\001_seff_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\001_seff_0p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\001_seff_0p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\001_seff_0p5\capture_cross_section_vs_velocity.png,completed
2,02_effective_saturation,seff,0.75,19.070038865623193,0.75,-2.471169686985173,0.020159290466123088,20.15929046612309,0.0127,12.7,318.27894866725114,19.070038865623193,0.75,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,49852132.23903306,49852132.239033066,18200812.404405203,3640162.4808810405,42339206.13065038,57365058.34741574,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,33bc230c113c354d65885a94335213bfe03d56fb7559d025af08599e44e5a4be,601.5356804999756,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\002_seff_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\002_seff_0p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\002_seff_0p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\002_seff_0p75\capture_cross_section_vs_velocity.png,completed
3,02_effective_saturation,seff,1.0,25.426718487497595,1.0000000000000002,-2.471169686985173,0.026879053954830787,26.879053954830788,0.0127,12.7,424.3719315563349,25.426718487497595,1.0000000000000002,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,55158739.02122995,55158739.021229945,19285078.436515607,3857015.687303121,47198249.89202832,63119228.15043159,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,69b82ca8175c309c29cfbdc1349d145850c288f272644937b6c3b3f34c304cbb,603.6027993000171,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\003_seff_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\003_seff_1,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\003_seff_1\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\003_seff_1\capture_cross_section_vs_velocity.png,completed
4,02_effective_saturation,seff,1.25,31.78339810937199,1.25,-2.471169686985173,0.03359881744353848,33.59881744353848,0.0127,12.7,530.4649144454186,31.78339810937199,1.25,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,58191143.27964953,58191143.27964954,19704781.1782402,3940956.2356480397,50057409.37345655,66324877.185842514,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,c88f634a39e9301a98c1474ed0f7895e8fad72f58d4d219a4ceb0e74ec36f690,612.7996355999785,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\004_seff_1p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\004_seff_1p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\004_seff_1p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\004_seff_1p25\capture_cross_section_vs_velocity.png,completed
5,02_effective_saturation,seff,1.5,38.140077731246386,1.5,-2.471169686985173,0.040318580932246176,40.31858093224618,0.0127,12.7,636.5578973345023,38.140077731246386,1.5,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,61313342.6562797,61313342.65627969,20341715.177300878,4068343.0354601755,52916695.31718405,69709989.99537535,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,819fcc78514d2e5926ec708f8b6bb4e81578636a293b5813895a39f36ebe90ef,627.655253200006,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\005_seff_1p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\005_seff_1p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\005_seff_1p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\005_seff_1p5\capture_cross_section_vs_velocity.png,completed
6,02_effective_saturation,seff,1.75,44.496757353120785,1.75,-2.471169686985173,0.04703834442095387,47.03834442095387,0.0127,12.7,742.650880223586,44.496757353120785,1.75,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,63429141.12633049,63429141.12633049,20960988.646298338,4192197.7292596675,54776870.26285119,72081411.98980978,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,3066b04bf8a10f087c61bf6fde4dba1dd335180724947663d91267582a407f2e,623.1025900000241,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\006_seff_1p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\006_seff_1p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\006_seff_1p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\006_seff_1p75\capture_cross_section_vs_velocity.png,completed
7,02_effective_saturation,seff,2.0,50.85343697499519,2.0000000000000004,-2.471169686985173,0.053758107909661575,53.758107909661575,0.0127,12.7,848.7438631126698,50.85343697499519,2.0000000000000004,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,65132952.17144882,65132952.17144882,20836058.280951932,4167211.6561903865,56532250.02823794,73733654.3146597,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,735eda8eb08ed7639cbd94e0940ece9077360db2c5c8a208580b3e73d9d8c1e9,624.5423264000274,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\007_seff_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\007_seff_2,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\007_seff_2\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\007_seff_2\capture_cross_section_vs_velocity.png,completed
8,02_effective_saturation,seff,2.25,57.21011659686958,2.25,-2.471169686985173,0.060477871398369264,60.47787139836927,0.0127,12.7,954.8368460017534,57.21011659686958,2.25,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,66022789.6983081,66022789.69830811,20798746.541033197,4159749.3082066393,57437489.084367245,74608090.31224896,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,66efe7830d66500c4f4f17e43c14663703506980c9222d3fc66eb472d9339a36,631.7099010999955,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\008_seff_2p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\008_seff_2p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\008_seff_2p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\008_seff_2p25\capture_cross_section_vs_velocity.png,completed
9,02_effective_saturation,seff,2.5,63.56679621874398,2.5,-2.471169686985173,0.06719763488707696,67.19763488707696,0.0127,12.7,1060.9298288908371,63.56679621874398,2.5,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,66708973.75820944,66708973.75820942,20619011.268509414,4123802.253701883,58197864.218355715,75220083.29806316,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,998d4d8a42fc1d3edee1396cb5cf5867ce8dc04b0db44400dba7c22f483fd6f0,629.4968119999976,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\009_seff_2p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\009_seff_2p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\009_seff_2p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\009_seff_2p5\capture_cross_section_vs_velocity.png,completed
10,02_effective_saturation,seff,2.75,69.9234758406184,2.7500000000000004,-2.471169686985173,0.07391739837578466,73.91739837578466,0.0127,12.7,1167.022811779921,69.9234758406184,2.7500000000000004,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,67250239.44687437,67250239.44687435,20474967.32543025,4094993.4650860503,58798588.32440711,75701890.56934163,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,3b9a52a825d905162b77ed14750d16a9d564bdbb72c0fe3c2708d0765faf22cf,633.2700315999973,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\010_seff_2p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\010_seff_2p75,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\010_seff_2p75\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\010_seff_2p75\capture_cross_section_vs_velocity.png,completed
11,02_effective_saturation,seff,3.0,76.28015546249277,3.0,-2.471169686985173,0.08063716186449235,80.63716186449236,0.0127,12.7,1273.1157946690046,76.28015546249277,3.0,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,68006409.39540766,68006409.39540765,19775341.21858436,3955068.243716872,59843549.73605973,76169269.0547556,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,58155397ff9c52e16d24ff6b9397d41975216e9556b34add6cd3adbbeaef2680,644.4747161999985,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\011_seff_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\011_seff_3,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\011_seff_3\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\011_seff_3\capture_cross_section_vs_velocity.png,completed
12,02_effective_saturation,seff,3.25,82.63683508436719,3.250000000000001,-2.471169686985173,0.08735692535320005,87.35692535320005,0.0127,12.7,1379.2087775580885,82.63683508436719,3.250000000000001,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,68633453.84250653,68633453.84250651,19284653.191749737,3856930.6383499475,60673140.24571701,76593767.43929604,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,7e94309cb87f88ee2699c13bfb88aabbc632e608bc4a2391fe60d4fbe0017095,642.2044666000002,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\012_seff_3p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\012_seff_3p25,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\012_seff_3p25\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\012_seff_3p25\capture_cross_section_vs_velocity.png,completed
13,02_effective_saturation,seff,3.5,88.99351470624157,3.5,-2.471169686985173,0.09407668884190774,94.07668884190774,0.0127,12.7,1485.301760447172,88.99351470624157,3.5,-2.471169686985173,-15000000.0,-15.0,-94247779.60769379,6070000.0,38138934.81458009,0.0001,0.1,69199427.42135414,69199427.42135413,19303121.04940809,3860624.2098816177,61231490.667593144,77167364.17511514,2.0638985616280245,0.95,25,25,625,0.015,15.0,full_sphere,02509217f582bc1619712cd31de3fcb34aac11b208c54a4cb228694f36603e17,1339d1f82966cea1488c32c825fcf2b527ac2a056ea78044ce3209ac19ae834f,663.2290826000099,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\013_seff_3p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\013_seff_3p5,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\statistics\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\013_seff_3p5\capture_velocity_spectrum.csv,C:\Users\imaq\SynologyDrive\IMAQ-Storage\Jupyter\Notebook\ARosypal\pMOT-Monte-Carlo-Simulation\outputs\figures\mot_multilevel\refined_relationships_full_sphere_25x25_r15mm_27mW_reference_repump0p1mW_20260903\02_effective_saturation\points\013_seff_3p5\capture_cross_section_vs_velocity.png,completed
