disc_index,point_count,loading_integral_m6_per_s4,loading_rate_atoms_per_s
0,25,3.5768319847939885,3261927.696852726
1,25,13.172298825789316,12012609.637166824
2,25,4.961098809926522,4524323.670700591
3,25,2.703715993175624,2465680.837136442
4,25,114.02098506010687,103982577.53541505
5,25,4.133356199699142,3769455.5198776294
6,25,67.20131290586203,61284909.31762993
7,25,2.37279096533471,2163890.448746642
8,25,2.7407096085098726,2499417.5345766633
9,25,7.378972448374288,6729327.714019416
10,25,11.040941380091777,10068896.900988497
11,25,4.824526754200012,4399775.418760243
12,25,20.64967874719669,18831681.03029349
13,25,46.64412734174246,42537578.37057546
14,25,1.9948881292060638,1819258.178310762
15,25,6.8677511109208,6263114.3031153325
16,25,25.981434837084436,23694029.31402752
17,25,97.14942131819748,88596386.26534338
18,25,4.722782367661629,4306988.608012699
19,25,1.688406089035701,1539758.816956998
20,25,56.997513548426085,51979452.45562265
21,25,46.63380668155857,42528166.34131415
22,25,1.7698274235380511,1614011.817169761
23,25,35.938776625013816,32774726.7309476
24,25,16.30508676492299,14869586.92613917
